date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:59	6740/6740	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202001%2015:31:17%20GMT	www.ccim.be/ccim328/trucs/new/yeux21bis.html	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/yeux21bis.html	(from www.ccim.be/ccim328/trucs/new/yeux21.html)
18:39:00	404/404	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:28:58%20GMT	www.ccim.be/ccim328/trucs/new/votre%20lien	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/votre%20lien.html	(from www.ccim.be/ccim328/trucs/new/link18.html)
18:39:00	422/422	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:28:59%20GMT	www.ccim.be/ccim328/trucs/new/votre%20image%20ici.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/votre%20image%20ici.gif	(from www.ccim.be/ccim328/trucs/new/yeux27.html)
18:39:00	12668/12668	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202001%2015:29:41%20GMT	www.ccim.be/ccim328/trucs/new/bgsky66.jpg	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/bgsky66.jpg	(from www.ccim.be/ccim328/trucs/new/yeux25.html)
18:39:01	141/141	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2015:31:27%20GMT	www.ccim.be/ccim328/trucs/new/zuegel.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/zuegel.gif	(from www.ccim.be/ccim328/trucs/new/yeux24.html)
18:39:01	2534/2534	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:29:52%20GMT	www.ccim.be/ccim328/trucs/new/christmas.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/christmas.js	(from www.ccim.be/ccim328/trucs/new/yeux24.html)
18:39:01	532/532	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2015:30:44%20GMT	www.ccim.be/ccim328/trucs/new/santaclaus.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/santaclaus.gif	(from www.ccim.be/ccim328/trucs/new/yeux24.html)
18:39:01	2370/2370	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:30:49%20GMT	www.ccim.be/ccim328/trucs/new/ringmarker.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/ringmarker.js	(from www.ccim.be/ccim328/trucs/new/link20.html)
18:39:01	2142/2142	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:30:34%20GMT	www.ccim.be/ccim328/trucs/new/linkwordmarker.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/linkwordmarker.js	(from www.ccim.be/ccim328/trucs/new/link21.html)
18:39:02	415/415	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:01%20GMT	www.ccim.be/ccim328/trucs/new/votre_image.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/votre_image.gif	(from www.ccim.be/ccim328/trucs/new/image23.html)
18:39:02	975/975	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:30:13%20GMT	www.ccim.be/ccim328/trucs/new/flyingpopup.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/flyingpopup.js	(from www.ccim.be/ccim328/trucs/new/brow15.html)
18:39:02	2637/2637	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2015:30:18%20GMT	www.ccim.be/ccim328/trucs/new/HTMLPLUS.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/new/HTMLPLUS.gif	(from www.ccim.be/ccim328/trucs/new/image23.html)
18:39:02	290/290	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2019%20Feb%202001%2015:47:01%20GMT	www.ccim.be/ccim328/trucs/overlib.css	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/overlib.css	(from www.ccim.be/ccim328/trucs/info03.htm)
18:39:04	7181/7181	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:47:09%20GMT	www.ccim.be/ccim328/trucs/overlib_fr.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/overlib_fr.js	(from www.ccim.be/ccim328/trucs/info03.htm)
18:39:04	1176/1176	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202001%2016:03:43%20GMT	www.ccim.be/ccim328/trucs/testmap.html	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/testmap.html	(from www.ccim.be/ccim328/trucs/info09.html)
